dataset,optimization_goal,mse,l1,l2
MachineLearning,mean_squared_error,10.746301651000977,318570.84375,6494.8671875
MachineLearning,lasso,687.4763793945312,278854.125,6204.1455078125
MachineLearning,ridge,2261.785400390625,135578.75,3752.893798828125
cscareerquestions,mean_squared_error,47.66358947753906,455806.75,8408.3798828125
cscareerquestions,lasso,95.85356140136719,348375.46875,7509.955078125
cscareerquestions,ridge,4007.10595703125,152264.109375,3830.3408203125
compsci,mean_squared_error,13.362689971923828,168560.140625,4583.38330078125
compsci,lasso,396.9498596191406,138771.59375,4262.9638671875
compsci,ridge,2819.205322265625,80455.671875,2736.608642578125
chess,mean_squared_error,3373.24560546875,1200434.625,25490.06640625
chess,lasso,3869.927734375,1056797.5,24319.716796875
chess,ridge,39884.5,248024.90625,8363.4794921875
python,mean_squared_error,192.48289489746094,229601.140625,3882.620361328125
python,lasso,208.77685546875,175321.0625,3509.729736328125
python,ridge,1253.887451171875,77761.7421875,1793.71240234375
